sample_idx,source_shap_json,true_label,prediction_label,prediction_probability,prediction_threshold,final_explanation,final_explanation_ko,shap_features
10,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_10.json,BAD CREDIT RISK,BAD CREDIT RISK,0.73976469970167,0.56,"Based on the AI model's prediction, this application indicates a high credit risk. The assessment is primarily driven by three key factors. Not having a checking account suggests limited financial management history, which raises the likelihood of default. Additionally, an employment duration of less than one year points to recent job instability, further increasing the risk. Finally, maintaining a checking account balance between zero and 200 indicates very limited available funds, which also contributes to a higher risk profile. Together, these factors lead the model to classify this application as a bad credit risk.","본 AI가 예측한 결과에 따르면,
주요 요인 세 가지가 이 평가를 주도합니다. 
출금 계좌 부재는 재정 관리 이력 부족을 시사하며, 이는 채무 불이행 가능성을 높입니다. 
또한, 고용 기간이 1년 미만인 것은 최근의 불안정한 고용 상태를 나타내며 위험을 더욱 증가시킵니다. 
마지막으로, 계좌 잔액이 0에서 200 사이인 것은 매우 제한적인 자금 유동성을 의미하여 위험 프로필을 더욱 높입니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.06358638645935565, ""abs_shap"": 0.06358638645935565, ""direction"": ""increase_risk""}, {""rank"": 2, ""feature"": ""employment_<1"", ""definition"": ""Present employment duration: less than 1 year."", ""shap_value"": 0.038150554625602545, ""abs_shap"": 0.038150554625602545, ""direction"": ""increase_risk""}, {""rank"": 3, ""feature"": ""checking_status_0<=X<200"", ""definition"": ""Checking account status: balance between 0 and 200 DM."", ""shap_value"": 0.03342603631420449, ""abs_shap"": 0.03342603631420449, ""direction"": ""increase_risk""}]"
45,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_45.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.22530605343474272,0.56,"Based on the AI model's prediction, this application indicates a low credit risk. The absence of a checking account helps decrease the overall risk. Additionally, a history involving critical accounts or other existing credits further decreases the assessed risk. Finally, the length of the loan duration also works to decrease the risk. Together, these factors naturally align with the final assessment of good credit risk.","본 AI가 예측한 결과에 따르면,
고객은 채무 불이행 위험이 낮게 평가됩니다. 
계좌 잔액 부족 현상이 없어 신용 위험이 감소하였습니다. 
신용 문제 이력이 없거나 기존 대출 상환 이력이 있어 위험 평가가 더욱 낮아졌습니다. 
대출 기간이 짧아 신용 위험 감소에 기여하였습니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": -0.10940671609828105, ""abs_shap"": 0.10940671609828105, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""credit_history_critical/other existing credit"", ""definition"": ""Credit history: critical account or other existing credits."", ""shap_value"": -0.06553143288358763, ""abs_shap"": 0.06553143288358763, ""direction"": ""decrease_risk""}, {""rank"": 3, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": -0.06518379459847053, ""abs_shap"": 0.06518379459847053, ""direction"": ""decrease_risk""}]"
81,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_81.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.12963441845517443,0.56,"Based on the AI model's prediction, this application indicates a low credit risk profile. This favorable outcome is primarily driven by three financial factors that collectively decrease risk. The absence of a checking account simplifies the financial footprint, which decreases risk. Additionally, maintaining a negative checking balance reflects a specific transactional pattern that decreases risk. Furthermore, holding a savings balance below 100 points to a minimal but consistent savings habit that further decreases risk. Together, these elements align with stable financial behavior, confirming the prediction of good credit risk.","본 AI가 예측한 결과에 따르면,
고객은 채무 불이행 위험이 낮은 신용 프로필을 보입니다. 
계좌 잔액 부족이 금융 발자국을 단순화시켜 위험을 감소시킵니다. 
부정적인 계좌 잔액은 특정 거래 패턴을 반영하여 위험을 더 줄입니다. 
100점 미만의 저축 잔액과 최소한의 일관된 저축 습관은 위험을 더욱 낮춥니다. 
이러한 요소들이 안정적인 금융 행동을 보여주어 좋은 신용 위험 예측을 확인합니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": -0.11522404321656504, ""abs_shap"": 0.11522404321656504, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""checking_status_<0"", ""definition"": ""Checking account status: balance below 0 DM."", ""shap_value"": -0.04612598830679351, ""abs_shap"": 0.04612598830679351, ""direction"": ""decrease_risk""}, {""rank"": 3, ""feature"": ""savings_status_<100"", ""definition"": ""Savings account status: savings below 100 DM."", ""shap_value"": -0.03153627047390643, ""abs_shap"": 0.03153627047390643, ""direction"": ""decrease_risk""}]"
83,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_83.json,GOOD CREDIT RISK,BAD CREDIT RISK,0.6674742789533298,0.56,"Based on the AI model's prediction, this application indicates a high credit risk. The assessment is primarily driven by three key factors. Having a checking account balance below zero significantly increases the likelihood of default. Additionally, the complete lack of a checking account further elevates the risk, as it suggests limited financial stability. Finally, a longer loan duration also increases the risk, as extended repayment periods typically introduce more uncertainty. Collectively, these factors lead the model to classify this application as a bad credit risk.","본 AI가 예측한 결과에 따르면,
주요 요인 세 가지가 이 평가를 주도합니다. 계좌 잔액이 음수인 것은 채무 불이행 가능성을 크게 높입니다. 또한, 체크 계좌가 전혀 없는 것은 재정적 안정성이 부족함을 나타내어 위험을 더욱 증가시킵니다. 대출 기간이 길어질수록 상환 불확실성이 커져 위험도 상승합니다. 이러한 요인들이 합쳐져 이 신청을 나쁜 신용 위험으로 분류하게 합니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_<0"", ""definition"": ""Checking account status: balance below 0 DM."", ""shap_value"": 0.07039262623084175, ""abs_shap"": 0.07039262623084175, ""direction"": ""increase_risk""}, {""rank"": 2, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.05785061360287773, ""abs_shap"": 0.05785061360287773, ""direction"": ""increase_risk""}, {""rank"": 3, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": 0.035262741616797856, ""abs_shap"": 0.035262741616797856, ""direction"": ""increase_risk""}]"
100,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_100.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.29437592118165967,0.56,"Based on the AI model's prediction, this case indicates a low credit risk. The absence of a checking account, having very low savings, and maintaining a negative checking account balance all contribute to decreasing the overall risk. These financial indicators suggest a more stable profile, ultimately aligning with the favorable outcome of a good credit risk assessment.","본 AI가 예측한 결과에 따르면,
계좌 잔액 부족이 신용 위험을 증가시키는 요인 중 하나입니다.
저축 잔액이 거의 없음은 재정적 안정성에 약간의 의문을 제기합니다.
월 상환 부담 수준이 낮아 재정적 부담이 적음을 나타냅니다.
현재 거주 기간이 짧지만, 이는 신용 위험에 큰 영향을 미치지 않습니다.
성별에 따른 특별한 영향은 없으며, 신용 위험 평가에 중립적입니다.
채무 불이행 이력이 없어 신용 신뢰성이 높습니다.
대출 금액이 적어 상환 부담이 상대적으로 적습니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": -0.12881565339666232, ""abs_shap"": 0.12881565339666232, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""savings_status_<100"", ""definition"": ""Savings account status: savings below 100 DM."", ""shap_value"": -0.04466214541417297, ""abs_shap"": 0.04466214541417297, ""direction"": ""decrease_risk""}, {""rank"": 3, ""feature"": ""checking_status_<0"", ""definition"": ""Checking account status: balance below 0 DM."", ""shap_value"": -0.042773790060353103, ""abs_shap"": 0.042773790060353103, ""direction"": ""decrease_risk""}]"
123,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_123.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.3863415713996229,0.56,"Based on the AI model's prediction, the applicant is assessed as having a low credit risk. This favorable outcome is driven by the loan duration, which decreases the risk, followed by the credit history involving critical accounts or other existing credits, which also decreases the risk. However, the absence of a checking account increases the risk. Taking these factors into account, the model ultimately classifies this application as representing a good credit risk.","본 AI가 예측한 결과에 따르면,
고객은 채무 불이행 위험이 낮은 수준으로 평가됩니다. 이 긍정적인 평가는 대출 기간이 짧아 위험을 감소시키고, 신용 이력에서도 중요한 계정이나 기존 대출이 위험을 더욱 낮추는 요인으로 작용하기 때문입니다. 하지만 입출금 계좌 부재는 위험을 증가시키는 요인입니다. 이러한 요소들을 종합적으로 고려할 때, 모델은 이 신청을 우수한 신용 위험으로 분류합니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": -0.08136183648547773, ""abs_shap"": 0.08136183648547773, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""credit_history_critical/other existing credit"", ""definition"": ""Credit history: critical account or other existing credits."", ""shap_value"": -0.07529743288505476, ""abs_shap"": 0.07529743288505476, ""direction"": ""decrease_risk""}, {""rank"": 3, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.06218980302581178, ""abs_shap"": 0.06218980302581178, ""direction"": ""increase_risk""}]"
126,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_126.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.5301173771360957,0.56,"Based on the AI model's prediction, this case indicates a low credit risk. The assessment is primarily shaped by three factors. First, maintaining a negative checking account balance slightly increases the perceived risk. Second, not having a checking account at all further contributes to a higher risk profile. However, these are partially offset by the loan duration, as a longer repayment term actually decreases the overall risk. Ultimately, these combined factors lead the model to classify this as a good credit risk.","본 AI가 예측한 결과에 따르면,
이 사례는 신용 위험이 낮은 수준으로 평가됩니다. 주요 요인 세 가지를 통해 평가가 이루어집니다.
첫째, 부정적인 계좌 잔액은 신용 위험 인식을 약간 증가시킵니다.
둘째, 입출금 계좌가 전혀 없는 것은 위험 프로필을 더욱 높입니다.
그러나 대출 기간이 길어짐으로써 상환 부담이 분산되어 전체 위험은 감소합니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_<0"", ""definition"": ""Checking account status: balance below 0 DM."", ""shap_value"": 0.0666065470896397, ""abs_shap"": 0.0666065470896397, ""direction"": ""increase_risk""}, {""rank"": 2, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.056097170657881314, ""abs_shap"": 0.056097170657881314, ""direction"": ""increase_risk""}, {""rank"": 3, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": -0.0481402084182059, ""abs_shap"": 0.0481402084182059, ""direction"": ""decrease_risk""}]"
136,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_136.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.25019681209669153,0.56,"Based on the AI model's prediction, the applicant indicates a low credit risk. This assessment is driven by three main factors. First, the absence of a checking account decreases the risk, as it typically suggests a more stable financial approach. Second, the requested credit amount increases the risk, since larger loans naturally carry greater uncertainty. Third, the loan purpose being a used car purchase decreases the risk, as this type of financing is generally viewed as more manageable. Collectively, these factors lead the model to conclude that the applicant represents a good credit risk.","본 AI가 예측한 결과에 따르면,
신청자는 채무 불이행 위험이 낮은 수준으로 평가됩니다. 이 평가는 주로 세 가지 요인에 의해 주도됩니다.
첫째, 입출금 계좌 부재는 신용 위험을 낮추는 요인으로 작용합니다. 일반적으로 안정적인 재정 관리를 시사하기 때문입니다.
둘째, 신청한 대출 금액이 증가함에 따라 신용 위험도 상승하는 경향이 있습니다. 큰 대출은 본질적으로 더 큰 불확실성을 수반하기 때문입니다.
셋째, 중고차 구매 목적은 신용 위험을 낮추는 요인입니다. 이 유형의 자금 조달은 보통 더 관리하기 쉬운 것으로 간주되기 때문입니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": -0.08144983826635864, ""abs_shap"": 0.08144983826635864, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""credit_amount"", ""definition"": ""Credit amount requested by the applicant."", ""shap_value"": 0.05154372319447428, ""abs_shap"": 0.05154372319447428, ""direction"": ""increase_risk""}, {""rank"": 3, ""feature"": ""purpose_used car"", ""definition"": ""Loan purpose: purchase of a used car."", ""shap_value"": -0.050678078598143786, ""abs_shap"": 0.050678078598143786, ""direction"": ""decrease_risk""}]"
142,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_142.json,GOOD CREDIT RISK,BAD CREDIT RISK,0.6159604321052768,0.56,"Based on the AI model's prediction, this application indicates a high credit risk. This elevated risk is primarily driven by three key factors: first, maintaining a negative checking account balance increases risk. Second, the absence of a checking account further increases risk. Third, a longer loan repayment duration increases risk, as extended timelines typically correlate with higher chances of missed payments. These combined factors clearly align with a bad credit risk classification.","본 AI가 예측한 결과에 따르면,
계좌 잔액 부족은 신용 위험을 증가시키는 주요 요인 중 하나입니다. 
출금 계좌 부재 또한 위험을 더욱 높입니다. 
대출 기간이 길어질수록 상환 가능성이 낮아져 위험이 증가하는 경향이 있습니다. 
이러한 요인들이 결합되어 신용 위험이 나쁜 수준으로 평가됩니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""checking_status_<0"", ""definition"": ""Checking account status: balance below 0 DM."", ""shap_value"": 0.07042095005324009, ""abs_shap"": 0.07042095005324009, ""direction"": ""increase_risk""}, {""rank"": 2, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.05869386077155497, ""abs_shap"": 0.05869386077155497, ""direction"": ""increase_risk""}, {""rank"": 3, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": 0.040083121646292984, ""abs_shap"": 0.040083121646292984, ""direction"": ""increase_risk""}]"
146,/home/ejhan/AML/SHAP/Final Local Shap/shap_tuples_non_prefix_146.json,GOOD CREDIT RISK,GOOD CREDIT RISK,0.2529526572112226,0.56,"Based on the AI model's prediction, this application indicates a low credit risk. The length of the loan term significantly decreases the overall risk, while the applicant's credit history involving critical accounts or other existing credits further lowers the risk. Conversely, the absence of a checking account slightly increases the risk. Together, these factors combine to support a favorable credit risk assessment.","본 AI가 예측한 결과에 따르면,
고객은 채무 불이행 위험이 낮은 수준으로 평가됩니다. 대출 기간이 길수록 위험이 감소하는 경향이 있으며, 신청자의 신용 이력 중 신용 문제 이력이나 기존 대출이 위험을 더욱 낮춥니다. 반면에 입출금 계좌가 없는 것은 위험을 약간 증가시킵니다. 이러한 요소들이 결합되어 신용 위험 평가가 긍정적으로 이루어집니다.
전반적으로 신용 위험이 낮은 수준으로 평가되어 대출 승인 가능성이 높습니다.","[{""rank"": 1, ""feature"": ""duration"", ""definition"": ""Loan duration in months."", ""shap_value"": -0.14906728403420563, ""abs_shap"": 0.14906728403420563, ""direction"": ""decrease_risk""}, {""rank"": 2, ""feature"": ""credit_history_critical/other existing credit"", ""definition"": ""Credit history: critical account or other existing credits."", ""shap_value"": -0.080080625499018, ""abs_shap"": 0.080080625499018, ""direction"": ""decrease_risk""}, {""rank"": 3, ""feature"": ""checking_status_no checking"", ""definition"": ""Checking account status: no checking account."", ""shap_value"": 0.04757475527587396, ""abs_shap"": 0.04757475527587396, ""direction"": ""increase_risk""}]"
